manhanvien,ho,ten,ngaysinh,gioitinh,diachi,sodienthoai,luong,chucvu
41,Bành,Trần Trang,11/19/2003,Nam,Sơn La,099422676,9000,Người làm bán thời gian
42,Thái,Thanh,06/12/1997,Khác,An Giang,099552767,40000,Kỹ sư
43,Cù,Trần Trang,02/12/1987,Nam,Ninh Thuận,092228435,50000,Chuyên gia nước ngoài
44,Liêu,Hoàng An,01/23/1995,Khác,Khánh Hòa,099614230,9000,Nhân sự thử việc
45,Lã,Quang,11/08/2002,Khác,Đà Nẵng,090011930,50000,Chuyên gia nước ngoài
46,Nhâm,Nguyễn Kim,12/04/1996,Khác,Thái Bình,096960646,8000,Thực tập sinh
47,Đoàn,Lê Phương,05/24/2001,Khác,Hà Giang,097984419,8000,Thực tập sinh
48,Đàm,Lê Phương,02/26/1995,Nữ,Phú Yên,097882979,50000,Chuyên gia nước ngoài
49,Triệu,Quang,06/07/1994,Khác,Bạc Liêu,096285407,10000,Lao động phổ thông
50,Nghiêm,Hồng,03/10/1998,Khác,Tây Ninh,098056003,10000,Công nhân
51,Tôn,Phương,12/29/2003,Nữ,Quảng Bình,099267447,15000,Nhân viên
52,Phùng,Trần Đức,05/30/1994,Khác,Bình Phước,094911208,10000,Lao động phổ thông
53,Cù,Quang,03/27/1994,Khác,Đắk Nông,094502758,40000,Kỹ sư
54,Trầm,Kim,01/21/2001,Nữ,Phú Yên,095863149,15000,Nhân viên
55,Phạm,Nguyễn Ánh,08/05/1997,Nam,Bà Rịa - Vũng Tàu,097702477,10000,Lao động phổ thông
56,Thất,Thanh,02/18/1985,Nữ,Bà Rịa - Vũng Tàu,096596527,50000,Chuyên gia nước ngoài
57,Hồn,Minh,04/28/2003,Khác,Bạc Liêu,092105911,50000,Chuyên gia nước ngoài
58,Phương,Tuấn Anh,02/11/1992,Khác,Quảng Trị,091847627,60000,Cán bộ quản lý
59,Âu,Kim,07/15/2000,Nam,Sóc Trăng,098521150,15000,Nhân viên
60,Hồ,Dương,04/27/1993,Khác,Đắk Nông,093070764,60000,Cán bộ quản lý
61,Tiêu,Nguyễn Ánh,04/08/2001,Nữ,Đắk Nông,096108256,50000,Chuyên gia nước ngoài
62,Tôn,Lan,01/17/1991,Khác,Sóc Trăng,091101968,9000,Người làm bán thời gian
63,Vũ,Trần Đức,04/20/1990,Khác,An Giang,097141871,10000,Lao động phổ thông
64,Tất,Hoàng An,02/18/1992,Nữ,Quảng Trị,092600816,9000,Người làm bán thời gian
65,Đường,Lê Mai,11/28/1990,Nam,Sóc Trăng,097507338,40000,Kỹ sư
66,Trần,Nguyễn Nam,10/13/1995,Nam,Tiền Giang,097748913,15000,Nhân viên
67,Từ,Dương Hùng,02/13/1998,Nữ,Hòa Bình,091218251,9000,Nhân sự thử việc
68,Tôn,Dương Quốc,05/31/1987,Nữ,Nghệ An,094529527,60000,Cán bộ quản lý
69,Dương,Lê Phương,12/25/1985,Nữ,Kiên Giang,096030027,8000,Thực tập sinh
70,Đậu,Thanh Hương,10/15/1985,Khác,Nghệ An,094510177,10000,Lao động phổ thông
71,Tôn,Nguyễn Ánh,06/15/2001,Nam,Đà Nẵng,096105608,40000,Kỹ sư
72,Phùng,Trần Trang,06/03/1992,Nam,Cần Thơ,097836899,10000,Công nhân
73,Ninh,Nguyễn Phương,12/10/1987,Nữ,Đồng Nai,094409942,10000,Công nhân
74,Dư,Thị,02/10/1995,Khác,Đà Nẵng,097325151,9000,Nhân sự thử việc
75,Sơn,Trần Anh,03/27/1985,Nữ,Phú Thọ,094377387,50000,Chuyên gia nước ngoài
76,Lã,Thanh Hương,08/18/1995,Nam,Quảng Nam,099673618,9000,Người làm bán thời gian
77,Biện,Thanh Thảo,02/09/1991,Khác,Bến Tre,097808349,15000,Nhân viên
78,Hứa,Hoàng,03/03/2000,Nữ,Kiên Giang,092666492,40000,Kỹ sư
79,La,Dương Quốc,01/31/1985,Nam,Bắc Ninh,092303229,60000,Cán bộ quản lý
80,Tôn,Thanh Hương,09/27/1996,Nữ,Ninh Bình,096093332,8000,Thực tập sinh
81,Từ,Tuấn Anh,10/31/1995,Khác,Hải Phòng,095965488,9000,Nhân sự thử việc
82,Hồn,Mai,07/07/2001,Nữ,Trà Vinh,099430489,9000,Người làm bán thời gian
83,Thạch,Văn,11/16/1987,Nam,Gia Lai,096505401,60000,Cán bộ quản lý
84,Lê,Tuấn,08/15/2001,Nữ,Bạc Liêu,099348200,15000,Nhân viên
85,Bành,Lê Hồng,10/26/2001,Nam,Bình Dương,093931966,9000,Nhân sự thử việc
86,Văn,Lê Kim,01/07/1992,Nam,Kon Tum,099673618,60000,Cán bộ quản lý
87,Tất,Trần Lan,06/20/1998,Khác,Thái Bình,090035674,10000,Lao động phổ thông
88,Tống,Trần Hùng,09/04/1995,Nữ,Hà Nam,099714319,10000,Công nhân
89,Chung,Nguyễn Trang,06/25/1992,Nam,Nam Định,098314819,9000,Nhân sự thử việc
90,Phan,Lê Hồng,05/03/2004,Nữ,Tiền Giang,097419127,9000,Nhân sự thử việc
91,Tống,Ánh,12/12/1986,Khác,An Giang,091202285,40000,Kỹ sư
92,Cù,Lê Hồng,11/25/1999,Khác,Hậu Giang,096007081,50000,Chuyên gia nước ngoài
93,Tiêu,Lê Nam,09/23/1990,Khác,Thái Nguyên,098056003,10000,Lao động phổ thông
94,Dương,Minh Tuấn,06/28/1990,Khác,Ninh Thuận,097281496,50000,Chuyên gia nước ngoài
95,Bùi,Văn Đức,04/03/1995,Khác,Đắk Nông,094499395,50000,Chuyên gia nước ngoài
96,Lê,Quang,11/27/1985,Nam,Ninh Bình,091309525,60000,Cán bộ quản lý
97,Lục,Thị,04/24/2004,Khác,Cao Bằng,091571508,8000,Thực tập sinh
98,Cù,Đức,10/04/1999,Nữ,Hà Tĩnh,098627445,60000,Cán bộ quản lý
99,Lai,Nam,11/27/1997,Khác,Lai Châu,098441415,10000,Công nhân
100,Trịnh,Văn Anh,09/23/2000,Nữ,Quảng Bình,091264160,9000,Người làm bán thời gian
101,Lương,Hồng,06/09/1987,Khác,Phú Yên,092078557,50000,Chuyên gia nước ngoài
102,Bùi,Dương,12/13/2001,Khác,Bình Dương,092370707,60000,Cán bộ quản lý
103,Lữ,Nguyễn Thị,08/15/1997,Khác,Lạng Sơn,096272942,10000,Công nhân
104,Tăng,Thanh,09/27/1999,Nam,Hải Dương,096494703,9000,Nhân sự thử việc
105,Lý,Minh Khánh,08/13/1988,Khác,Thừa Thiên Huế,095383420,10000,Lao động phổ thông
106,Bành,Tuấn,07/30/1994,Nam,Lai Châu,091268974,9000,Nhân sự thử việc
107,Tào,Văn Anh,11/15/1991,Nam,Thanh Hóa,099181947,50000,Chuyên gia nước ngoài
108,Lý,Trần Anh,01/05/1997,Nữ,Hà Nội,097174513,9000,Nhân sự thử việc
109,Trầm,Trần Đức,07/04/2001,Nữ,Nghệ An,093832485,60000,Cán bộ quản lý
110,Trần,Trần Ánh,10/10/1999,Nam,Hà Nam,099761647,50000,Chuyên gia nước ngoài
111,Ôn,Trần Đức,01/04/2000,Nam,Long An,092753230,8000,Thực tập sinh
112,Nghiêm,Dương Quốc,10/03/1997,Khác,Tuyên Quang,090554696,60000,Cán bộ quản lý
113,Cù,Nguyễn Nam,06/12/1998,Nữ,Hải Phòng,091313159,15000,Nhân viên
114,Quan,Nguyễn Hùng,08/18/2000,Nam,Tây Ninh,096127110,15000,Nhân viên
115,Trình,Nguyễn Trang,07/11/1999,Nữ,Thừa Thiên Huế,097938283,40000,Kỹ sư
116,Từ,Lê Nam,12/11/1998,Khác,Hà Tĩnh,091172507,15000,Nhân viên
117,Quan,Trần Đức,05/01/2002,Nữ,Hải Dương,098225256,10000,Công nhân
118,Thiều,Dương Quốc,11/17/1992,Nam,Thái Bình,095091853,50000,Chuyên gia nước ngoài
119,Từ,Nguyễn Phương,10/25/1991,Khác,Lâm Đồng,091042858,10000,Công nhân
120,Trịnh,Minh,03/04/1987,Nam,Phú Thọ,091631402,9000,Người làm bán thời gian
121,Sơn,Trần Thị,09/06/1992,Nam,Khánh Hòa,091664426,50000,Chuyên gia nước ngoài
122,Chu,Nguyễn Ánh,04/08/2002,Khác,Hà Nam,094510177,8000,Thực tập sinh
123,Diệp,Lê Hồng,08/05/2002,Khác,Thừa Thiên Huế,093306369,15000,Nhân viên
124,Mạch,Kim,11/28/1987,Nữ,Long An,093592391,50000,Chuyên gia nước ngoài
125,Đoàn,Nguyễn Đức,08/29/2003,Khác,Tiền Giang,090215509,15000,Nhân viên
126,Văn,Văn Đức,06/18/2004,Nam,Bà Rịa - Vũng Tàu,097797663,15000,Nhân viên
127,Phù,Quang Minh,12/27/1997,Nữ,Vĩnh Phúc,098035697,40000,Kỹ sư
128,Viên,Lê Hồng,07/24/2001,Khác,Kon Tum,094700934,50000,Chuyên gia nước ngoài
129,Đường,Văn Đức,01/24/1996,Nam,Bình Định,095056004,60000,Cán bộ quản lý
130,La,Trần Hùng,06/13/1998,Khác,Nam Định,095806665,60000,Cán bộ quản lý
131,Vòng,Minh,07/07/1992,Nữ,Tuyên Quang,095716186,9000,Nhân sự thử việc
132,Khưu,Hoàng An,05/17/1987,Khác,Cà Mau.,097312523,10000,Lao động phổ thông
133,Phù,Dương Quốc,04/21/1997,Khác,Ninh Thuận,098338538,10000,Lao động phổ thông
134,Cù,Minh,04/03/1989,Nam,Nghệ An,091259294,60000,Cán bộ quản lý
135,Chung,Dương Hùng,03/16/1986,Nữ,Đắk Lắk,091218251,9000,Nhân sự thử việc
136,Đàm,Anh,11/06/1988,Nữ,Gia Lai,097175168,8000,Thực tập sinh
137,Ông,Minh Tuấn,09/03/2001,Nữ,Đồng Nai,093029461,9000,Người làm bán thời gian
138,Chế,Nguyễn Mai,03/20/1988,Nam,Kon Tum,091822781,50000,Chuyên gia nước ngoài
139,Tống,Hùng,02/18/1989,Nữ,Bình Phước,095126704,10000,Lao động phổ thông
140,Cao,Trần Trang,03/17/1999,Nam,Quảng Nam,094020080,9000,Người làm bán thời gian
141,Quan,Mai,06/18/1991,Khác,Kon Tum,091631402,50000,Chuyên gia nước ngoài
142,Tô,Đức,09/25/1990,Nữ,Hưng Yên,094141076,10000,Lao động phổ thông
143,Võ,Phương,07/14/1995,Nữ,Đắk Nông,097582276,15000,Nhân viên
144,Thất,Nam,02/08/1993,Khác,Cao Bằng,094818064,60000,Cán bộ quản lý
145,Lâm,Lan,09/11/1998,Nam,Bạc Liêu,094939331,15000,Nhân viên
146,Hoàng,Lê Phương,12/26/2004,Nữ,Hải Dương,093019354,9000,Nhân sự thử việc
147,La,Lê Thùy,09/30/2001,Nam,Kon Tum,095635090,10000,Lao động phổ thông
148,Quan,Nguyễn Kim,04/17/1989,Nữ,Lạng Sơn,094006051,10000,Lao động phổ thông
149,Quan,Nguyễn Lan,10/01/2004,Nam,Trà Vinh,095929108,15000,Nhân viên
150,Kim,Hoàng,05/01/1987,Khác,Bình Phước,093193755,40000,Kỹ sư
151,Võ,Phương,10/09/1995,Khác,Lạng Sơn,090128621,60000,Cán bộ quản lý
152,Tôn,Minh Tuấn,01/12/1998,Nữ,Cao Bằng,092577089,40000,Kỹ sư
153,Nghiêm,Văn,09/27/1994,Nam,Bắc Kạn,096339075,60000,Cán bộ quản lý
154,Thạch,Hoàng An,07/06/2003,Nữ,Hà Nam,098970368,60000,Cán bộ quản lý
155,Ngụy,Lan,06/12/1987,Nữ,Đắk Nông,099365202,9000,Người làm bán thời gian
156,Phan,Thanh,02/08/1986,Khác,Bắc Ninh,094446309,9000,Nhân sự thử việc
157,Tô,Minh,09/12/2001,Khác,Quảng Ngãi,092533583,40000,Kỹ sư
158,Trịnh,Minh,09/21/1986,Nữ,Bến Tre,090096937,10000,Công nhân
159,Trần,Hoàng Nam,12/12/1992,Nam,Cao Bằng,092447196,10000,Công nhân
160,Lê,Nguyễn Ánh,11/19/2001,Nam,Yên Bái,091450655,10000,Công nhân
161,Tôn,Hùng,10/01/1998,Nữ,Bình Định,098225256,8000,Thực tập sinh
162,Thạch,Hoàng Nam,02/03/1997,Nữ,Ninh Thuận,099301680,15000,Nhân viên
163,Chung,Lê Kim,10/08/1991,Nữ,Lào Cai,097984419,9000,Người làm bán thời gian
164,La,Kim,12/20/1998,Khác,Cao Bằng,090128621,60000,Cán bộ quản lý
165,Thi,Quang Huy,06/16/2002,Khác,Đắk Lắk,099857862,15000,Nhân viên
166,Trình,Minh Khánh,08/04/1991,Khác,Thái Bình,099021238,60000,Cán bộ quản lý
167,Đàm,Thanh,06/07/2002,Khác,Cà Mau.,091175187,60000,Cán bộ quản lý
168,Đường,Nguyễn Lan,04/19/1988,Nữ,Sóc Trăng,090154598,10000,Công nhân
169,Đường,Quang Huy,07/13/1998,Nữ,Quảng Ngãi,090622308,15000,Nhân viên
170,Lý,Thanh Hương,08/06/1991,Khác,Bình Phước,090154598,8000,Thực tập sinh
171,Hàng,Trần Thị,01/13/1997,Nam,Bình Dương,098526643,50000,Chuyên gia nước ngoài
172,Kim,Nguyễn Mai,02/13/2003,Nam,Thái Nguyên,097477182,15000,Nhân viên
173,Lại,Mai,07/26/2001,Nam,Bắc Kạn,095481149,10000,Công nhân
174,Nguyễn,Văn Đức,02/23/1985,Nam,Bình Định,096438152,10000,Lao động phổ thông
175,Hàng,Nguyễn Nam,09/26/2002,Khác,Đắk Lắk,097325151,8000,Thực tập sinh
176,Ngô,Thanh Hương,04/03/1991,Khác,Quảng Nam,090248707,10000,Lao động phổ thông
177,Thạch,Minh Tuấn,12/05/1988,Nữ,Hà Giang,091188879,10000,Công nhân
178,Viên,Thanh,02/02/2002,Nữ,Tuyên Quang,092198045,60000,Cán bộ quản lý
179,Ngụy,Lê Mai,04/25/1993,Nữ,Hà Nội,095179173,15000,Nhân viên
180,Giang,Nguyễn Thị,06/18/2001,Nữ,Ninh Bình,094647516,9000,Người làm bán thời gian
181,Khưu,Nguyễn Kim,08/22/1985,Nữ,Hồ Chí Minh (TP. HCM),099283121,10000,Lao động phổ thông
182,Thất,Nguyễn Hồng,08/28/2000,Nữ,Đắk Nông,097530844,9000,Nhân sự thử việc
183,Thiều,Trần Thị,09/25/1988,Nam,Nam Định,092545497,40000,Kỹ sư
184,Cao,Tuấn,12/31/1990,Khác,Thanh Hóa,099713101,50000,Chuyên gia nước ngoài
185,Chu,Nguyễn Kim,10/11/2002,Nam,Nghệ An,097383364,15000,Nhân viên
186,Khổng,Nguyễn Thùy,12/12/2003,Nam,Bình Thuận,099552767,10000,Công nhân
187,Hoàng,Nguyễn Kim,04/22/2003,Khác,Bình Phước,090155530,10000,Lao động phổ thông
188,Võ,Văn Đức,01/01/1997,Nam,Gia Lai,096568325,15000,Nhân viên
189,Cao,Hoàng Nam,01/15/1988,Khác,Hải Phòng,090554696,9000,Người làm bán thời gian
190,Lục,Trần Hùng,07/18/2000,Nam,Sơn La,096981097,60000,Cán bộ quản lý
191,Lương,Nguyễn Anh,06/14/1987,Nam,Thái Nguyên,096239877,9000,Nhân sự thử việc
192,Bạch,Quang Minh,09/25/1990,Khác,Hà Giang,096829141,8000,Thực tập sinh
193,Biện,Lê Nam,06/06/1997,Nữ,Quảng Nam,093572919,10000,Lao động phổ thông
194,Lai,Văn Anh,06/13/1998,Nam,Bình Phước,093407621,8000,Thực tập sinh
195,Hồ,Trần Hùng,02/19/1990,Khác,Sóc Trăng,099208297,9000,Nhân sự thử việc
196,Chu,Quang Minh,06/11/1990,Khác,Hải Dương,092814288,60000,Cán bộ quản lý
197,Kim,Thị,02/13/1998,Nữ,Bắc Giang,095254995,40000,Kỹ sư
198,Trịnh,Ánh,12/16/1997,Nam,Cao Bằng,090887627,9000,Nhân sự thử việc
199,Tiêu,Nguyễn Hùng,11/20/1986,Nữ,Cà Mau.,097250000,9000,Nhân sự thử việc
200,Châu,Hoàng,04/04/1991,Nam,Hà Tĩnh,099174798,15000,Nhân viên
201,Kim,Nguyễn Thùy,02/07/2000,Khác,Thanh Hóa,092237766,8000,Thực tập sinh
202,Vòng,Lê Mai,07/13/1989,Nữ,Gia Lai,096907794,9000,Người làm bán thời gian
203,Vương,Minh Khánh,06/12/1987,Nam,Sóc Trăng,099519380,9000,Người làm bán thời gian
204,Nguyễn,Trần Hùng,04/16/2002,Nữ,Quảng Trị,095199991,10000,Công nhân
205,Tôn,Thanh Hương,02/16/1996,Nữ,Bình Thuận,090816852,40000,Kỹ sư
206,Vũ,Nguyễn Thị,07/07/1987,Khác,Bình Định,099232125,9000,Người làm bán thời gian
207,Vi,Trần Đức,04/13/1986,Nữ,Sơn La,093572919,8000,Thực tập sinh
208,Lưu,Hùng,12/21/1989,Nữ,Yên Bái,090900627,60000,Cán bộ quản lý
209,Kim,Tuấn Anh,11/19/1995,Nữ,Hà Nam,096048556,15000,Nhân viên
210,Hồ,Lê Hồng,09/18/2002,Nam,Bình Dương,098246109,15000,Nhân viên
211,Đàm,Hoàng Nam,01/22/1994,Nam,Hải Phòng,098702213,15000,Nhân viên
212,Phan,Trần Đức,05/04/2000,Nữ,Hải Phòng,099330163,50000,Chuyên gia nước ngoài
213,Trương,Quang Minh,10/04/1999,Nữ,Bà Rịa - Vũng Tàu,094180354,10000,Lao động phổ thông
214,Bùi,,02/28/1987,Nữ,Nghệ An,094141076,60000,Cán bộ quản lý
215,Đàm,Kim,05/15/1993,Nữ,Hà Nội,090819947,60000,Cán bộ quản lý
216,Quan,,04/29/2002,Nam,Quảng Nam,091664426,60000,Cán bộ quản lý
217,Tôn,Nguyễn Nam,03/11/1993,Nam,Bắc Ninh,092364763,60000,Cán bộ quản lý
218,Phương,,11/11/1992,Khác,Hải Phòng,097369046,10000,Công nhân
219,Diệp,Nam,03/28/1993,Nữ,Quảng Ninh,094635892,60000,Cán bộ quản lý
220,Tất,Nguyễn Kim,04/22/2004,Nam,Đà Nẵng,091664426,9000,Nhân sự thử việc
221,Võ,Hoàng An,08/03/1987,Khác,Bình Dương,099208297,40000,Kỹ sư
222,Hàng,Trần Anh,12/22/2004,Nam,Gia Lai,091506281,15000,Nhân viên
223,Nữ,Dương,02/04/1992,Nam,Quảng Ninh,092099914,50000,Chuyên gia nước ngoài
224,Ôn,Lê Thùy,01/27/2000,Nam,Khánh Hòa,099660319,10000,Lao động phổ thông
225,Triệu,Thanh Thảo,09/07/1992,Khác,Nghệ An,099121679,50000,Chuyên gia nước ngoài
226,Lai,Trần Anh,08/17/1993,Khác,Quảng Nam,095124259,40000,Kỹ sư
227,Quan,Tuấn,08/15/1998,Nữ,Nghệ An,097919960,8000,Thực tập sinh
228,Hà,Dương Hùng,02/02/1990,Nữ,Phú Thọ,090941314,15000,Nhân viên
229,Quan,Anh,04/09/1996,Khác,Hồ Chí Minh (TP. HCM),092624736,9000,Người làm bán thời gian
230,Vi,Nguyễn Anh,05/27/1994,Nữ,Ninh Thuận,093286859,8000,Thực tập sinh
231,Phùng,Văn Anh,09/21/1989,Khác,Kiên Giang,091822781,10000,Công nhân
232,Nguyễn,Nguyễn Hồng,12/14/1993,Nam,Hà Giang,097285257,40000,Kỹ sư
233,Nữ,Tuấn,01/01/1996,Khác,Long An,095753366,10000,Công nhân
234,Ninh,Dương Quốc,11/01/1986,Nữ,Quảng Bình,098491994,10000,Lao động phổ thông
235,Vũ,Nguyễn Hồng,10/02/1994,Nữ,Hòa Bình,096886656,50000,Chuyên gia nước ngoài
236,Nhan,Hoàng Nam,10/13/2001,Khác,Bình Phước,099688735,15000,Nhân viên
237,Đồn,Văn Đức,08/20/1996,Khác,Hưng Yên,092531140,50000,Chuyên gia nước ngoài
238,Tô,Minh Khánh,04/01/1991,Nam,Bến Tre,090016404,10000,Công nhân
239,Diệp,Tuấn,11/18/2003,Nữ,Quảng Ngãi,093912661,50000,Chuyên gia nước ngoài
240,Tất,Lê Phương,12/09/1989,Khác,Hà Tĩnh,095315618,60000,Cán bộ quản lý
241,Thân,Đức,08/07/2004,Nam,Hà Nội,092848464,10000,Lao động phổ thông
242,Ông,Nguyễn Thùy,11/19/1988,Khác,Khánh Hòa,098526643,15000,Nhân viên
243,Phùng,Trần Hùng,06/12/2000,Nữ,Hải Phòng,096007081,9000,Nhân sự thử việc
244,Nhâm,Hồng,10/04/1994,Khác,Bắc Giang,097077390,50000,Chuyên gia nước ngoài
245,Thiều,Nguyễn Hùng,08/14/1988,Khác,Long An,092398665,15000,Nhân viên
246,Mai,Nguyễn Thùy,05/27/1989,Khác,Tây Ninh,091850330,40000,Kỹ sư
247,Hứa,Ánh,05/21/1989,Nữ,Ninh Bình,095203088,9000,Người làm bán thời gian
248,Phương,Hoàng An,05/07/1993,Nam,Tây Ninh,095439843,40000,Kỹ sư
249,Phùng,Văn Anh,12/25/1988,Khác,Bình Định,093592391,10000,Công nhân
250,Mã,Quang Huy,02/15/1993,Khác,Cao Bằng,090251506,50000,Chuyên gia nước ngoài
251,Trà,Hùng,02/06/1986,Khác,Bến Tre,091159646,50000,Chuyên gia nước ngoài
252,Viên,Thị,07/22/1993,Nam,Hà Tĩnh,095261903,9000,Nhân sự thử việc
253,Tạ,Đức,06/29/2003,Nữ,Trà Vinh,096668933,9000,Người làm bán thời gian
254,La,Quang Minh,04/19/1998,Khác,Quảng Ngãi,093881429,10000,Lao động phổ thông
255,Quách,Nam,10/04/1989,Nam,Bắc Ninh,096375703,9000,Nhân sự thử việc
256,Ông,Hùng,04/23/1993,Nữ,Hà Giang,098246109,8000,Thực tập sinh
257,La,Trần Ánh,05/17/1987,Nữ,Bình Thuận,094490637,50000,Chuyên gia nước ngoài
258,Giang,Lan,10/22/2003,Nữ,Sơn La,092551907,10000,Công nhân
259,Ông,Trần Anh,09/14/1996,Nam,Nghệ An,090849606,60000,Cán bộ quản lý
260,Thạch,Đức,02/13/1996,Nam,Hải Phòng,094215681,10000,Lao động phổ thông
261,La,Thanh Hương,08/04/1992,Khác,Hà Nam,093286859,8000,Thực tập sinh
262,Hàng,Nam,04/05/1990,Khác,Trà Vinh,096886420,8000,Thực tập sinh
263,Ôn,Lê Thùy,05/19/1985,Nữ,Kon Tum,090868975,10000,Công nhân
264,Đỗ,Anh,02/27/1990,Nữ,Hải Dương,090079136,50000,Chuyên gia nước ngoài
265,Từ,Nguyễn Lan,07/13/1991,Nam,Hòa Bình,098180653,10000,Công nhân
266,Trầm,Minh Tuấn,02/20/1994,Nữ,Bắc Giang,094447639,9000,Nhân sự thử việc
267,Bạch,Kim,10/16/1985,Khác,Hải Dương,094218181,40000,Kỹ sư
268,Diệp,Thùy,05/17/1988,Nam,Đắk Nông,095379358,9000,Nhân sự thử việc
269,Nhâm,Hùng,07/04/2003,Khác,Thái Bình,092099914,8000,Thực tập sinh
270,Trình,Nguyễn Phương,03/28/1996,Nam,Hải Phòng,096737693,50000,Chuyên gia nước ngoài
271,Mai,Lê Nam,03/14/1993,Khác,An Giang,093305262,10000,Công nhân
272,Quách,Văn,10/18/2003,Nữ,Lạng Sơn,094415074,15000,Nhân viên
273,Trà,Nguyễn Anh,08/10/2001,Nữ,Hà Tĩnh,094638452,8000,Thực tập sinh
274,Lưu,Trần Thị,10/01/2000,Khác,An Giang,094972042,9000,Nhân sự thử việc
275,Dư,Thị,04/26/2003,Nữ,Bình Phước,099528664,50000,Chuyên gia nước ngoài
276,Lai,Thanh,10/18/2002,Khác,Hà Nam,091043564,60000,Cán bộ quản lý
277,Hồ,Lê Thùy,01/22/2000,Nữ,Lạng Sơn,094215681,40000,Kỹ sư
278,Trà,Nam,08/15/1989,Nam,Hậu Giang,096000613,10000,Lao động phổ thông
279,Tống,Lê Phương,01/29/1991,Nữ,Bắc Ninh,099238040,10000,Công nhân
